timestamp,waypoint_num,target_x,target_y,target_yaw_deg,actual_x,actual_y,actual_yaw_deg,distance_error_m,heading_error_deg,nav_completed,result
2024-07-21 04:34:32,1,-5.23384,-0.220136,0.489436,-5.25742,-0.161636,-1.20127,0.0630755,1.69071,YES,PASS
2024-07-21 04:34:39,2,-3.09582,-0.204686,0.12056,-3.1287,-0.24821,-2.99249,0.0545476,3.11305,YES,PASS
2024-07-21 04:34:45,3,-1.34488,-0.172461,-1.69705,-1.35282,-0.260596,-1.23271,0.088492,0.464341,YES,PASS
2024-07-21 04:34:51,4,0.409103,-0.213828,4.29967,0.36801,-0.284774,2.27853,0.081988,2.02114,YES,PASS
2024-07-21 04:34:58,5,1.9145,-0.064026,-0.114541,1.91131,-0.110979,-2.25928,0.0470609,2.14474,YES,PASS
2024-07-21 04:35:08,6,4.32164,-0.00827352,1.12697,4.33388,-0.10408,6.44756,0.0965844,5.32059,YES,PASS
2024-07-21 04:35:16,7,6.64325,0.0610734,-0.412163,6.63404,0.133389,3.45456,0.0729,3.86673,YES,PASS
2024-07-21 04:35:21,8,7.69068,-0.0101699,2.95622,7.66222,0.0457044,-4.97649,0.062706,7.93271,YES,PASS
2024-07-21 04:35:30,9,8.88253,0.022186,2.3649,8.89666,0.118998,1.234,0.0978361,1.1309,YES,PASS
2024-07-21 04:35:36,10,10.6112,0.0436383,-3.62167,10.6552,0.0480122,0.68032,0.0441465,4.30199,YES,PASS
